;borough;neighborhood;zip_code;latitude;longitude;landsqmi;density;median_house_value;median_age;avg_household_size;avg_agi;avg_wage
0;Manhattan;Chelsea and Clinton;10001;40.750742;-73.99653;0.62;39102;399889;35.6;1.9;144041;118909
1;Manhattan;Lower East Side;10002;40.71704;-73.987;0.88;89911;721285;42.1;2.3;44740;42766
2;Manhattan;Lower East Side;10003;40.732509;-73.98935;0.58;96874;1108917;32.9;1.7;204008;148545
3;Manhattan;Lower Manhattan;10004;40.862612;-73.925379;0.56;5419;1796465;35.9;1.9;363621;246647
4;Manhattan;Lower Manhattan;10005;40.706019;-74.00858;0.07;119790;1680524;30.4;2.1;983554;215824
5;Manhattan;Lower Manhattan;10006;40.707904;-74.01342;0.09;39550;1124548;30.9;2;176242;130297
6;Manhattan;Lower Manhattan;10007;40.714754;-74.00721;0.16;43674;2249097;35.7;2.2;476189;349986
7;Manhattan;Lower East Side;10009;40.727093;-73.97864;0.62;98969;685637;37.1;2;69934;63071
8;Manhattan;Gramercy Park and Murray Hill;10010;40.739022;-73.98205;0.39;86020;846784;34.9;1.9;211519;152989
9;Manhattan;Chelsea and Clinton;10011;40.741012;-74.00012;0.66;78152;1100595;40.1;1.7;246235;168767
10;Manhattan;Greenwich Village and Soho;10012;40.72596;-73.99834;0.32;76982;1524662;34.8;1.9;197911;142352
11;Manhattan;Greenwich Village and Soho;10013;40.720666;-74.00526;0.55;54416;2249097;38.1;2.3;373721;237470
12;Manhattan;Greenwich Village and Soho;10014;40.734718;-74.00532;0.57;56648;1206302;37.1;1.7;253188;177048
13;Manhattan;Gramercy Park and Murray Hill;10016;40.74618;-73.97759;0.53;98094;840712;33.6;1.7;202730;132775
14;Manhattan;Gramercy Park and Murray Hill;10017;40.752159;-73.97231;0.32;51940;702842;40.2;1.6;391799;190657
15;Manhattan;Chelsea and Clinton;10018;40.755101;-73.99337;0.32;30646;1098008;32.3;1.9;501354;189841
16;Manhattan;Chelsea and Clinton;10019;40.765714;-73.9856;0.68;62059;1088337;39.9;1.7;292340;151171
17;Manhattan;Chelsea and Clinton;10020;40.758667;-73.98024;0.03;;;;;;
18;Manhattan;Upper East Side;10021;40.76842;-73.96045;0.39;117909;1374760;40.5;1.8;517400;218413
19;Manhattan;Gramercy Park and Murray Hill;10022;40.759015;-73.96732;0.44;71634;1025138;48.1;1.7;423852;223182
20;Manhattan;Upper West Side;10023;40.776099;-73.98285;0.49;127250;1162782;42.9;1.8;320455;210903
21;Manhattan;Upper West Side;10024;40.786387;-73.97709;0.86;69209;1618112;43.4;2;303191;201194
22;Manhattan;Upper West Side;10025;40.798502;-73.96811;0.75;127413;1154123;42;2.1;131910;105222
23;Manhattan;Central Harlem;10026;40.802853;-73.95471;0.33;122449;860729;34.7;2.5;54078;53986
24;Manhattan;Central Harlem;10027;40.812665;-73.95499;0.87;76107;778300;30.9;2.5;50162;47983
25;Manhattan;Upper East Side;10028;40.776777;-73.9541;0.31;161778;1321456;39.1;1.9;339877;198029
26;Manhattan;East Harlem;10029;40.791586;-73.94575;0.83;99449;910097;34.3;2.5;47088;42901
27;Manhattan;Central Harlem;10030;40.818151;-73.94351;0.28;109720;667419;35;2.4;35037;36107
28;Manhattan;Inwood and Washington Heights;10031;40.826201;-73.94879;0.65;97263;426653;35.1;2.8;33193;34632
29;Manhattan;Inwood and Washington Heights;10032;40.840686;-73.94154;0.66;97515;499299;34.9;3;31728;33381
30;Manhattan;Inwood and Washington Heights;10033;40.848764;-73.93496;0.6;102065;566997;36.3;3.1;38106;38764
31;Manhattan;Inwood and Washington Heights;10034;40.867653;-73.92;1.13;39805;375711;36.7;2.8;36610;38518
32;Manhattan;East Harlem;10035;40.802395;-73.93359;1.4;25701;556651;36.8;2.3;39019;39769
33;Manhattan;Chelsea and Clinton;10036;40.759511;-73.99019;0.44;61500;989827;37.4;1.7;197931;114253
34;Manhattan;Central Harlem;10037;40.813385;-73.93616;0.26;81425;516167;34.7;2.2;42259;41361
35;Manhattan;Lower Manhattan;10038;40.709677;-74.00365;0.3;76568;827442;35.9;2.1;111759;100893
36;Manhattan;Central Harlem;10039;40.826181;-73.9371;0.46;59606;429690;33.1;2.4;34344;34669
37;Manhattan;Inwood and Washington Heights;10040;40.858704;-73.92853;0.38;123848;426653;36.9;2.8;36260;37954
38;Manhattan;Upper East Side;10044;40.762174;-73.94917;0.24;50150;733880;41.8;2.2;82915;79384
39;Manhattan;Upper East Side;10065;40.772494;-73.960467;0.39;77655;1491938;40.6;1.9;593608;244640
40;Manhattan;Upper East Side;10075;40.622353;-73.969462;0.18;125463;1035259;42.9;2;400256;209184
41;Manhattan;Upper East Side;10128;40.781894;-73.95039;0.47;135263;1113527;39;2;323582;179457
42;Manhattan;Lower Manhattan;10280;40.707467;-74.0178;0.14;71955;945182;38.5;2.1;184651;164576
43;Staten Island;Stapleton and St. George;10301;40.631775;-74.09432;3.66;10909;489403;38.2;2.6;63214;56554
44;Staten Island;Port Richmond;10302;40.631127;-74.13715;1.19;15750;409898;33.9;3;47143;46069
45;Staten Island;Port Richmond;10303;40.629448;-74.16239;3.14;8345;361767;32.2;3.1;41810;41488
46;Staten Island;Stapleton and St. George;10304;40.60787;-74.08991;3.87;10968;507171;38.6;2.8;62172;54058
47;Staten Island;Stapleton and St. George;10305;40.599021;-74.07503;4.25;10097;474109;39.8;2.8;57344;55720
48;Staten Island;South Shore;10306;40.569394;-74.11785;7.47;7335;524826;43.2;2.7;67141;62335
49;Staten Island;South Shore;10307;40.508274;-74.24387;1.96;8030;726683;38.1;3;82911;74381
50;Staten Island;South Shore;10308;40.551353;-74.15098;1.97;15439;527525;43.3;2.8;69356;64412
51;Staten Island;South Shore;10309;40.529749;-74.21304;6.72;5083;642567;40.7;2.9;76073;70104
52;Staten Island;Port Richmond;10310;40.63212;-74.11551;1.8;13398;479057;36.8;2.9;56068;53258
53;Staten Island;South Shore;10312;40.543117;-74.17628;7.68;8066;552265;42.4;2.9;75396;66475
54;Staten Island;Mid-Island;10314;40.606337;-74.14513;13.71;6661;518754;41.7;2.9;64317;59283
55;Bronx;High Bridge and Morrisania;10451;40.819729;-73.9223;1.01;48231;176442;33.6;2.6;28443;29039
56;Bronx;High Bridge and Morrisania;10452;40.838745;-73.92234;0.98;80364;249425;31.3;3;24210;26004
57;Bronx;Central Bronx;10453;40.853017;-73.91214;0.92;91091;495251;30.3;3;23540;25317
58;Bronx;Hunts Point and Mott Haven;10454;40.805968;-73.91628;1.04;37627;447682;29.6;2.9;23515;25148
59;Bronx;Hunts Point and Mott Haven;10455;40.815559;-73.90771;0.71;60636;326906;31.3;2.9;24964;26396
60;Bronx;High Bridge and Morrisania;10456;40.829676;-73.90856;1.02;94316;408323;30.7;3.1;23501;24944
